StartDate,EndDate,Duration (in seconds),RecordedDate, , , ,Q62,Q62_5_TEXT,Q63,Q63_5_TEXT,Q58,Q58_1_TEXT,Q58_2_TEXT,Q58_3_TEXT,Q58_4_TEXT,Q58_5_TEXT,Q77_1,Q77_2,Q75,Q76,Q79,Q67,Q67_4_TEXT,Q68_1,Q68_2,Q68_3,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Q70_6,Q70_7,Q70_7_TEXT,Q71, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Start Date,End Date,Duration (in seconds),Recorded Date,"Experiment tag (for example thesh04, provided by the researcher)",Year of birth (for example 1995),Gender,Where do you work? - Selected Choice,Where do you work? - Other (please specify) - Text,"If you selected ""Office Building"" or ""Hybrid,"" please describe your office space. - Selected Choice","If you selected ""Office Building"" or ""Hybrid,"" please describe your office space. - Other (please specify) - Text","Which days do you work in an office building? For those days, please indicate the typical beginning and ending times that you are in the office. (Example: state ""9,17"" for 9:00 am to 5:00 pm) - Selected Choice","Which days do you work in an office building? For those days, please indicate the typical beginning and ending times that you are in the office. (Example: state ""9,17"" for 9:00 am to 5:00 pm) - Monday - Text","Which days do you work in an office building? For those days, please indicate the typical beginning and ending times that you are in the office. (Example: state ""9,17"" for 9:00 am to 5:00 pm) - Tuesday - Text","Which days do you work in an office building? For those days, please indicate the typical beginning and ending times that you are in the office. (Example: state ""9,17"" for 9:00 am to 5:00 pm) - Wednesday - Text","Which days do you work in an office building? For those days, please indicate the typical beginning and ending times that you are in the office. (Example: state ""9,17"" for 9:00 am to 5:00 pm) - Thursday - Text","Which days do you work in an office building? For those days, please indicate the typical beginning and ending times that you are in the office. (Example: state ""9,17"" for 9:00 am to 5:00 pm) - Friday - Text","For a typical work day (any location), please select: - START time","For a typical work day (any location), please select: - END time",What is your job title?,How many years have you been in this job position?,"Approximately how many hours a week are spent interacting (conversations, meetings, group lunches, etc.) with others?",How has the COVID-19 Pandemic impacted this number? - Selected Choice,How has the COVID-19 Pandemic impacted this number? - Other (please specify) - Text,Please rate: - Importance of working in a physical office space,Please rate: - Importance of having hybrid work options,Please rate: - Satisfaction with your current balance of work from home/work in office,"Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Socialization","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Meetings","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Training","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Sharing Ideas","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Work-focused Environment","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Ease of Collaboration","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Other (please specify)","Listed below are potential reasons that in-person work could be valuable. Please rank them, with 1 being the most valuable. (If no ""Other,"" indicate ""7"" in that box) - Other (please specify) - Text",What noise level do you prefer when working?,Do you seem to be aware of subtleties in your environment?,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal.,The conditions of my life are excellent.,I am satisfied with my life.,So far I have gotten the important things I want in life.,"If I could live my life over, I would change almost nothing.","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
"{""ImportId"":""startDate"",""timeZone"":""Asia/Singapore""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Singapore""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Singapore""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID98""}","{""ImportId"":""QID98_5_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID99_5_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID94_1_TEXT""}","{""ImportId"":""QID94_2_TEXT""}","{""ImportId"":""QID94_3_TEXT""}","{""ImportId"":""QID94_4_TEXT""}","{""ImportId"":""QID94_5_TEXT""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_2""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_4_TEXT""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_3""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID106_2""}","{""ImportId"":""QID106_3""}","{""ImportId"":""QID106_4""}","{""ImportId"":""QID106_5""}","{""ImportId"":""QID106_6""}","{""ImportId"":""QID106_7""}","{""ImportId"":""QID106_7_TEXT""}","{""ImportId"":""QID107""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}"
3/27/2023 13:05,3/27/2023 13:11,388,3/27/2023 13:11,thesh01,1982,Male,Hybrid - Flexible Schedule,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday","10,6","10,6",n/a,"10,6",n/a,10:00 AM,6:00 PM,Senior Research Fellow,3,7,Decreased,,7,9,9,3,5,6,2,1,4,7,,Light (e.g. communal  office space),4,6,4,5,6,5,3,5,5,4,6,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Disagree
3/27/2023 13:59,3/27/2023 14:10,652,3/27/2023 14:10,thesh02,1990,Male,Office Building,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday","12,21","12,21","12,21","12,21","12,21",12:00 PM,8:00 PM,Research assistant ,3.5,2,Increased,,9,3,8,4,6,7,3,1,2,5,Better desktop setup,"As silent as possible (e.g. alone at home, library)",5,6,4,6,4,6,3,6,7 (Extremely),7 (Extremely),6,4,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree
3/27/2023 14:56,3/27/2023 15:03,415,3/27/2023 15:03,thesh03,1996,Male,Office Building,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday","10, 17","10, 17","10, 17","10, 17","10, 17",10:00 AM,5:00 PM,PhD researcher ,0.5,1,Other (please specify),I came in after COVID,8,8,9,4,5,6,3,1,2,7,,Light (e.g. communal  office space),2,2,3,6,2,5,2,6,4,2,2,3,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree
3/28/2023 12:06,3/28/2023 12:15,567,3/28/2023 12:15,thesh04,1994,Male,Office Building,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday","12,20","12,20","12,20","12,20","12,17",12:00 PM,8:00 PM,Research fellow,1,8,Decreased,,9,5,8,2,3,6,4,1,5,7,,Light (e.g. communal  office space),3,4,5,3,4,4,3,3,4,4,5,3,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree
3/28/2023 12:47,3/28/2023 12:55,429,3/28/2023 12:55,thesh05,1987,Male,Hybrid - Flexible Schedule,,Open Office - Constant Desk,,"Tuesday,Thursday",,"10,18",,"10,18",,10:00 AM,7:00 PM,Postdoctoral research fellow,2,6,Decreased,,8,10,8,1,5,6,4,2,3,7,,Light (e.g. communal  office space),1  (Not at all),2,3,7 (Extremely),5,7 (Extremely),3,7 (Extremely),6,5,3,7 (Extremely),Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree
3/28/2023 15:01,3/28/2023 15:09,450,3/28/2023 15:09,thesh06,1995,Female,Office Building,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday","10,19","10,19","10,19","10,19","10,19",10:00 AM,7:00 PM,Research associate,1,15,Decreased,,8,9,8,2,3,2,1,3,2,,,Light (e.g. communal  office space),3,4,3,4,4,5,2,4,4,4,5,4,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree
3/30/2023 11:04,3/30/2023 11:09,291,3/30/2023 11:09,thesh07,1997,Female,Hybrid - Flexible Schedule,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday",9 to 5 pm,9 to 5 pm,9 to 5 pm,9 to 5 pm,9 to 5 pm,9:00 AM,5:00 PM,Research Assistant ,1,10,Decreased,,7,10,10,6,4,5,3,2,1,,,"As silent as possible (e.g. alone at home, library)",6,6,3,6,5,6,1  (Not at All),6,6,6,6,6,Strongly agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
3/30/2023 13:15,3/30/2023 13:25,567,3/30/2023 13:25,thesh08,1998,Female,Hybrid - Flexible Schedule,,Open Office - Constant Desk,,"Monday,Tuesday,Wednesday,Thursday,Friday","9,17","9,17","9,17","9,17","9,17",9:00 AM,6:00 PM,Student,1,10,No Change,,8,10,9,2,5,6,4,1,3,7,,Light (e.g. communal  office space),5,3,4,5,7 (Extremely),5,1  (Not at All),3,5,7 (Extremely),2,5,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Disagree,Somewhat agree
3/30/2023 14:02,3/30/2023 14:07,336,3/30/2023 14:07,Thesh09,1992,Female,Hybrid - Flexible Schedule,,Open Office - Constant Desk,,Thursday,,,,"11,7",,11:00 AM,7:00 PM,Postdoctoral Researcher ,2,20,Decreased,,7,10,10,3,5,6,1,4,2,,,Light (e.g. communal  office space),3,5,5,5,3,6,3,5,5,4,6,3,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Disagree,Somewhat agree,Somewhat disagree
